"go"	"cluster"	"parent"	"score"	"size"	"term"	"parentTerm"	"termUniqueness"	"termUniquenessWithinCluster"	"termDispensability"
"GO:0008033"	1	"GO:0008033"	4.74472749489669	134	"tRNA processing"	"tRNA processing"	0.712285714285714	0.431857142857143	0
"GO:0006399"	1	"GO:0008033"	4.67778070526608	197	"tRNA metabolic process"	"tRNA processing"	0.70968253968254	0.444	0.961
"GO:0034660"	1	"GO:0008033"	3.55284196865778	631	"ncRNA metabolic process"	"tRNA processing"	0.679920634920635	0.399071428571429	0.855
"GO:0034470"	1	"GO:0008033"	3.50863830616573	439	"ncRNA processing"	"tRNA processing"	0.683904761904762	0.387285714285714	0.899
"GO:0140053"	2	"GO:0140053"	3.49485002168009	163	"mitochondrial gene expression"	"mitochondrial gene expression"	0.827873015873016	1	0
"GO:1901657"	3	"GO:1901657"	3.11918640771921	82	"glycosyl compound metabolic process"	"glycosyl compound metabolic process"	0.827333333333333	0.4542	0
"GO:0006364"	1	"GO:0008033"	3.03151705144606	225	"rRNA processing"	"tRNA processing"	0.62947619047619	0.419714285714286	0.837
"GO:0009451"	1	"GO:0008033"	2.92081875395238	180	"RNA modification"	"tRNA processing"	0.744873015873016	0.613357142857143	0.374
"GO:0042254"	4	"GO:0042254"	2.91721462968355	325	"ribosome biogenesis"	"ribosome biogenesis"	0.904507936507936	0.525222222222222	0
"GO:0016072"	1	"GO:0008033"	2.87942606879415	264	"rRNA metabolic process"	"tRNA processing"	0.709444444444444	0.443285714285714	0.779
"GO:0009259"	3	"GO:1901657"	2.59176003468815	385	"ribonucleotide metabolic process"	"glycosyl compound metabolic process"	0.53584126984127	0.2984	0.666
"GO:0009123"	5	"GO:0009123"	2.58670023591875	77	"nucleoside monophosphate metabolic process"	"nucleoside monophosphate metabolic process"	0.596698412698413	0.3088	0
"GO:0009150"	3	"GO:1901657"	2.53017798402184	365	"purine ribonucleotide metabolic process"	"glycosyl compound metabolic process"	0.529904761904762	0.3038	0.66
"GO:0009161"	5	"GO:0009123"	2.42712839779952	59	"ribonucleoside monophosphate metabolic process"	"nucleoside monophosphate metabolic process"	0.605968253968254	0.32205	0.977
"GO:0034641"	6	"GO:0034641"	2.42021640338319	6825	"cellular nitrogen compound metabolic process"	"cellular nitrogen compound metabolic process"	0.646174603174603	0.529333333333333	0
"GO:0019693"	3	"GO:1901657"	2.41680122603138	393	"ribose phosphate metabolic process"	"glycosyl compound metabolic process"	0.674126984126984	0.2982	0.667
"GO:0044237"	6	"GO:0034641"	2.29242982390206	10950	"cellular metabolic process"	"cellular nitrogen compound metabolic process"	0.703111111111111	0.488166666666667	0.619
"GO:0060271"	4	"GO:0042254"	2.28149831113273	378	"cilium assembly"	"ribosome biogenesis"	0.88131746031746	0.319333333333333	0.573
"GO:0009167"	5	"GO:0009123"	2.27654432796481	40	"purine ribonucleoside monophosphate metabolic process"	"nucleoside monophosphate metabolic process"	0.613460317460317	0.33225	0.957
"GO:0055086"	5	"GO:0009123"	2.26841123481326	601	"nucleobase-containing small molecule metabolic process"	"nucleoside monophosphate metabolic process"	0.550952380952381	0.2531	0.828
"GO:0009126"	5	"GO:0009123"	2.26680273489343	42	"purine nucleoside monophosphate metabolic process"	"nucleoside monophosphate metabolic process"	0.611063492063492	0.3294	0.965
"GO:0044782"	4	"GO:0042254"	2.12726117252733	407	"cilium organization"	"ribosome biogenesis"	0.902666666666667	0.447555555555556	0.36
"GO:0006753"	5	"GO:0009123"	2.06398920428479	533	"nucleoside phosphate metabolic process"	"nucleoside monophosphate metabolic process"	0.542730158730159	0.24855	0.849
"GO:0006163"	1	"GO:0008033"	1.96377045591371	463	"purine nucleotide metabolic process"	"tRNA processing"	0.542222222222222	0.569428571428571	0.341
"GO:0006396"	1	"GO:0008033"	1.91328433605512	1467	"RNA processing"	"tRNA processing"	0.671365079365079	0.452071428571429	0.757
