"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classic"
"GO:0098660"	"inorganic ion transmembrane transport"	1364	206	114.9	"1.8e-17"
"GO:0006811"	"monoatomic ion transport"	2333	309	196.53	"2.0e-17"
"GO:0034220"	"monoatomic ion transmembrane transport"	1857	258	156.43	"4.9e-17"
"GO:0006936"	"muscle contraction"	550	107	46.33	"1.1e-16"
"GO:0006812"	"monoatomic cation transport"	1666	231	140.34	"3.8e-15"
"GO:0030001"	"metal ion transport"	1279	189	107.74	"4.2e-15"
"GO:0098655"	"monoatomic cation transmembrane transpor..."	1400	201	117.93	"9.9e-15"
"GO:0003008"	"system process"	2836	348	238.9	"1.3e-14"
"GO:0098662"	"inorganic cation transmembrane transport"	1237	180	104.2	"8.7e-14"
"GO:0003012"	"muscle system process"	688	117	57.96	"1.0e-13"
"GO:0009605"	"response to external stimulus"	4304	483	362.56	"1.4e-13"
"GO:0006873"	"intracellular monoatomic ion homeostasis"	865	135	72.87	"9.6e-13"
"GO:0030003"	"intracellular monoatomic cation homeosta..."	816	129	68.74	"1.3e-12"
"GO:0098771"	"inorganic ion homeostasis"	968	146	81.54	"1.6e-12"
"GO:0055080"	"monoatomic cation homeostasis"	930	140	78.34	"5.5e-12"
"GO:0006820"	"monoatomic anion transport"	1035	151	87.19	"8.8e-12"
"GO:0055085"	"transmembrane transport"	2258	278	190.21	"9.3e-12"
"GO:0032787"	"monocarboxylic acid metabolic process"	1183	165	99.65	"3.5e-11"
"GO:0007186"	"G protein-coupled receptor signaling pat..."	725	114	61.07	"3.9e-11"
"GO:0006937"	"regulation of muscle contraction"	318	64	26.79	"3.9e-11"
"GO:0050896"	"response to stimulus"	10767	1027	907	"4.0e-11"
"GO:0065008"	"regulation of biological quality"	6122	633	515.71	"4.5e-11"
"GO:0007610"	"behavior"	2303	279	194	"5.1e-11"
"GO:0050801"	"monoatomic ion homeostasis"	1050	150	88.45	"5.1e-11"
"GO:0009636"	"response to toxic substance"	1281	173	107.91	"1.5e-10"
"GO:0050877"	"nervous system process"	1887	235	158.96	"1.8e-10"
"GO:0006874"	"intracellular calcium ion homeostasis"	522	88	43.97	"2.1e-10"
"GO:0019752"	"carboxylic acid metabolic process"	1990	245	167.63	"2.2e-10"
"GO:0098739"	"import across plasma membrane"	175	42	14.74	"3.5e-10"
"GO:1901615"	"organic hydroxy compound metabolic proce..."	1064	148	89.63	"4.8e-10"
"GO:0055074"	"calcium ion homeostasis"	540	89	45.49	"5.3e-10"
"GO:0098656"	"monoatomic anion transmembrane transport"	724	110	60.99	"6.9e-10"
"GO:0055082"	"intracellular chemical homeostasis"	1072	148	90.3	"8.2e-10"
"GO:0015837"	"amine transport"	194	44	16.34	"9.4e-10"
"GO:0042221"	"response to chemical"	6349	644	534.83	"1.0e-09"
"GO:0006821"	"chloride transport"	141	36	11.88	"1.0e-09"
"GO:0006082"	"organic acid metabolic process"	2255	267	189.96	"1.5e-09"
"GO:0043436"	"oxoacid metabolic process"	2228	263	187.68	"2.9e-09"
"GO:0044281"	"small molecule metabolic process"	3778	409	318.25	"4.0e-09"
"GO:1902476"	"chloride transmembrane transport"	122	32	10.28	"4.3e-09"
"GO:0006721"	"terpenoid metabolic process"	233	48	19.63	"4.9e-09"
"GO:0050433"	"regulation of catecholamine secretion"	77	24	6.49	"9.4e-09"
"GO:0016053"	"organic acid biosynthetic process"	706	104	59.47	"1.1e-08"
"GO:0046394"	"carboxylic acid biosynthetic process"	706	104	59.47	"1.1e-08"
"GO:0055002"	"striated muscle cell development"	382	66	32.18	"1.4e-08"
"GO:0098661"	"inorganic anion transmembrane transport"	156	36	13.14	"1.9e-08"
"GO:0099537"	"trans-synaptic signaling"	1307	167	110.1	"2.0e-08"
"GO:0030049"	"muscle filament sliding"	25	13	2.11	"2.0e-08"
"GO:0050432"	"catecholamine secretion"	80	24	6.74	"2.2e-08"
"GO:1903522"	"regulation of blood circulation"	379	65	31.93	"2.5e-08"
"GO:0007268"	"chemical synaptic transmission"	1303	166	109.76	"2.7e-08"
"GO:0098916"	"anterograde trans-synaptic signaling"	1303	166	109.76	"2.7e-08"
"GO:0120254"	"olefinic compound metabolic process"	262	50	22.07	"3.3e-08"
"GO:0099536"	"synaptic signaling"	1318	167	111.03	"3.5e-08"
"GO:0001523"	"retinoid metabolic process"	146	34	12.3	"3.7e-08"
"GO:0033275"	"actin-myosin filament sliding"	26	13	2.19	"3.7e-08"
"GO:0050890"	"cognition"	870	120	73.29	"3.8e-08"
"GO:0051952"	"regulation of amine transport"	160	36	13.48	"3.8e-08"
"GO:0042391"	"regulation of membrane potential"	657	96	55.34	"6.1e-08"
"GO:0016101"	"diterpenoid metabolic process"	156	35	13.14	"6.4e-08"
"GO:0043269"	"regulation of monoatomic ion transport"	749	106	63.09	"6.6e-08"
"GO:0098703"	"calcium ion import across plasma membran..."	36	15	3.03	"7.2e-08"
"GO:0019725"	"cellular homeostasis"	1324	166	111.53	"7.9e-08"
"GO:0003013"	"circulatory system process"	716	102	60.31	"8.5e-08"
"GO:0098659"	"inorganic cation import across plasma me..."	98	26	8.26	"9.3e-08"
"GO:0099587"	"inorganic ion import across plasma membr..."	98	26	8.26	"9.3e-08"
"GO:0030239"	"myofibril assembly"	232	45	19.54	"9.7e-08"
"GO:0035725"	"sodium ion transmembrane transport"	368	62	31	"1.0e-07"
"GO:0030195"	"negative regulation of blood coagulation"	52	18	4.38	"1.1e-07"
"GO:1900047"	"negative regulation of hemostasis"	52	18	4.38	"1.1e-07"
"GO:0055001"	"muscle cell development"	462	73	38.92	"1.1e-07"
"GO:0070482"	"response to oxygen levels"	794	110	66.89	"1.1e-07"
"GO:0042730"	"fibrinolysis"	28	13	2.36	"1.1e-07"
"GO:0014866"	"skeletal myofibril assembly"	42	16	3.54	"1.2e-07"
"GO:0015698"	"inorganic anion transport"	281	51	23.67	"1.3e-07"
"GO:0051937"	"catecholamine transport"	106	27	8.93	"1.3e-07"
"GO:0008015"	"blood circulation"	686	98	57.79	"1.3e-07"
"GO:0008016"	"regulation of heart contraction"	314	55	26.45	"1.4e-07"
"GO:0019226"	"transmission of nerve impulse"	147	33	12.38	"1.5e-07"
"GO:0042573"	"retinoic acid metabolic process"	82	23	6.91	"1.7e-07"
"GO:0032780"	"negative regulation of ATP-dependent act..."	38	15	3.2	"1.7e-07"
"GO:0044057"	"regulation of system process"	915	122	77.08	"1.9e-07"
"GO:0051480"	"regulation of cytosolic calcium ion conc..."	325	56	27.38	"2.0e-07"
"GO:0015711"	"organic anion transport"	868	117	73.12	"2.0e-07"
"GO:0090257"	"regulation of muscle system process"	438	69	36.9	"2.8e-07"
