"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classic"
"GO:0003676"	"nucleic acid binding"	2984	364	257.09	"9.4e-14"
"GO:0003682"	"chromatin binding"	873	135	75.21	"8.2e-12"
"GO:0140993"	"histone modifying activity"	265	58	22.83	"2.3e-11"
"GO:0003677"	"DNA binding"	1733	221	149.31	"5.0e-10"
"GO:1990226"	"histone methyltransferase binding"	28	15	2.41	"1.3e-09"
"GO:1901363"	"heterocyclic compound binding"	4453	476	383.65	"9.5e-09"
"GO:0097159"	"organic cyclic compound binding"	4574	482	394.08	"5.3e-08"
"GO:0140110"	"transcription regulator activity"	1490	184	128.37	"1.9e-07"
"GO:0042393"	"histone binding"	325	55	28	"9.0e-07"
"GO:0043565"	"sequence-specific DNA binding"	975	127	84	"1.2e-06"
"GO:0004674"	"protein serine/threonine kinase activity"	567	81	48.85	"3.8e-06"
"GO:0042054"	"histone methyltransferase activity"	76	20	6.55	"4.4e-06"
"GO:0003723"	"RNA binding"	1535	181	132.25	"4.9e-06"
"GO:0003729"	"mRNA binding"	669	91	57.64	"7.5e-06"
"GO:0031491"	"nucleosome binding"	60	17	5.17	"7.8e-06"
"GO:0001067"	"transcription regulatory region nucleic ..."	891	114	76.77	"1.0e-05"
"GO:0035173"	"histone kinase activity"	33	12	2.84	"1.0e-05"
"GO:0008170"	"N-methyltransferase activity"	121	26	10.42	"1.0e-05"
"GO:0003690"	"double-stranded DNA binding"	956	120	82.37	"1.4e-05"
"GO:1990837"	"sequence-specific double-stranded DNA bi..."	824	105	70.99	"2.7e-05"
"GO:0000976"	"transcription cis-regulatory region bind..."	754	96	64.96	"6.1e-05"
"GO:0005488"	"binding"	12126	1106	1044.73	"6.2e-05"
"GO:0004672"	"protein kinase activity"	757	96	65.22	"7.1e-05"
"GO:0004407"	"histone deacetylase activity"	65	16	5.6	"9.5e-05"
"GO:0008276"	"protein methyltransferase activity"	122	24	10.51	"0.00010"
"GO:0036002"	"pre-mRNA binding"	79	18	6.81	"0.00010"
"GO:0035064"	"methylated histone binding"	94	20	8.1	"0.00012"
"GO:0140034"	"methylation-dependent protein binding"	94	20	8.1	"0.00012"
"GO:0003700"	"DNA-binding transcription factor activit..."	1040	123	89.6	"0.00016"
"GO:0003697"	"single-stranded DNA binding"	256	40	22.06	"0.00016"
"GO:0004693"	"cyclin-dependent protein serine/threonin..."	55	14	4.74	"0.00017"
"GO:0097472"	"cyclin-dependent protein kinase activity"	55	14	4.74	"0.00017"
"GO:0033558"	"protein lysine deacetylase activity"	69	16	5.94	"0.00020"
"GO:0008574"	"plus-end-directed microtubule motor acti..."	39	11	3.36	"0.00033"
"GO:0008168"	"methyltransferase activity"	276	41	23.78	"0.00041"
"GO:0003712"	"transcription coregulator activity"	687	85	59.19	"0.00041"
"GO:0016780"	"phosphotransferase activity, for other s..."	40	11	3.45	"0.00041"
"GO:0016772"	"transferase activity, transferring phosp..."	1271	143	109.5	"0.00046"
"GO:0140640"	"catalytic activity, acting on a nucleic ..."	970	113	83.57	"0.00052"
"GO:0008134"	"transcription factor binding"	1041	120	89.69	"0.00053"
"GO:0019213"	"deacetylase activity"	82	17	7.06	"0.00053"
"GO:0016279"	"protein-lysine N-methyltransferase activ..."	83	17	7.15	"0.00061"
"GO:0016773"	"phosphotransferase activity, alcohol gro..."	945	110	81.42	"0.00063"
"GO:0016741"	"transferase activity, transferring one-c..."	301	43	25.93	"0.00069"
"GO:0016278"	"lysine N-methyltransferase activity"	84	17	7.24	"0.00071"
"GO:0000977"	"RNA polymerase II transcription regulato..."	664	81	57.21	"0.00085"
"GO:0008757"	"S-adenosylmethionine-dependent methyltra..."	233	35	20.07	"0.00085"
"GO:0000981"	"DNA-binding transcription factor activit..."	868	101	74.78	"0.00106"
"GO:0016538"	"cyclin-dependent protein serine/threonin..."	58	13	5	"0.00109"
"GO:0042826"	"histone deacetylase binding"	151	25	13.01	"0.00113"
"GO:0004386"	"helicase activity"	228	34	19.64	"0.00114"
"GO:0140097"	"catalytic activity, acting on DNA"	393	51	33.86	"0.00207"
"GO:0044877"	"protein-containing complex binding"	2333	238	201	"0.00218"
"GO:0003727"	"single-stranded RNA binding"	187	28	16.11	"0.00279"
