"go"	"cluster"	"parent"	"score"	"size"	"term"	"parentTerm"	"termUniqueness"	"termUniquenessWithinCluster"	"termDispensability"
"GO:0003676"	1	"GO:0003676"	13.0268721464003	4350	"nucleic acid binding"	"nucleic acid binding"	0.841567010309278	0.407	0
"GO:0003682"	2	"GO:0003682"	11.0861861476163	596	"chromatin binding"	"chromatin binding"	0.947587628865979	0.372	0
"GO:0003677"	1	"GO:0003676"	9.30102999566398	2530	"DNA binding"	"nucleic acid binding"	0.832814432989691	0.323666666666667	0.793
"GO:1990226"	3	"GO:1990226"	8.88605664769316	15	"histone methyltransferase binding"	"histone methyltransferase binding"	0.96079381443299	0.65825	0
"GO:1901363"	1	"GO:0003676"	8.02227639471115	6301	"heterocyclic compound binding"	"nucleic acid binding"	0.861536082474227	0.471933333333333	0.802
"GO:0097159"	4	"GO:0097159"	7.27572413039921	6373	"organic cyclic compound binding"	"organic cyclic compound binding"	0.862371134020619	0.616666666666667	0
"GO:0140110"	5	"GO:0140110"	6.72124639904717	1960	"transcription regulator activity"	"transcription regulator activity"	0.946072164948454	0.346125	0
"GO:0042393"	6	"GO:0042393"	6.04575749056067	252	"histone binding"	"histone binding"	0.955371134020619	1	0
"GO:0043565"	1	"GO:0003676"	5.92081875395237	1672	"sequence-specific DNA binding"	"nucleic acid binding"	0.834247422680412	0.310466666666667	0.734
"GO:0004674"	7	"GO:0004674"	5.42021640338319	427	"protein serine/threonine kinase activity"	"protein serine/threonine kinase activity"	0.840618556701031	0.438933333333333	0
"GO:0042054"	7	"GO:0004674"	5.35654732351381	66	"histone methyltransferase activity"	"protein serine/threonine kinase activity"	0.841515463917526	0.367066666666667	0.457
"GO:0003723"	8	"GO:0003723"	5.30980391997149	2004	"RNA binding"	"RNA binding"	0.851938144329897	0.485	0
"GO:0003729"	8	"GO:0003723"	5.1249387366083	614	"mRNA binding"	"RNA binding"	0.873639175257732	0.526	0.792
"GO:0031491"	2	"GO:0003682"	5.10790539730952	71	"nucleosome binding"	"chromatin binding"	0.95580412371134	0.456	0.807
"GO:0035173"	9	"GO:0035173"	5	20	"histone kinase activity"	"histone kinase activity"	0.885061855670103	0.661	0
"GO:0001067"	1	"GO:0003676"	5	1501	"transcription regulatory region nucleic acid binding"	"nucleic acid binding"	0.852144329896907	0.400133333333333	0.689
"GO:0008170"	7	"GO:0004674"	5	101	"N-methyltransferase activity"	"protein serine/threonine kinase activity"	0.843082474226804	0.3478	0.462
"GO:0003690"	1	"GO:0003676"	4.85387196432176	1658	"double-stranded DNA binding"	"nucleic acid binding"	0.835556701030928	0.315533333333333	0.725
"GO:1990837"	1	"GO:0003676"	4.56863623584101	1562	"sequence-specific double-stranded DNA binding"	"nucleic acid binding"	0.833711340206186	0.300866666666667	0.717
"GO:0000976"	1	"GO:0003676"	4.21467016498923	1499	"transcription cis-regulatory region binding"	"nucleic acid binding"	0.832288659793814	0.2802	0.689
"GO:0005488"	10	"GO:0005488"	4.20760831050175	16707	"binding"	"binding"	0.958773195876289	1	0
"GO:0004672"	7	"GO:0004674"	4.14874165128092	563	"protein kinase activity"	"protein serine/threonine kinase activity"	0.829536082474227	0.3946	0.888
"GO:0004407"	11	"GO:0004407"	4.02227639471115	21	"histone deacetylase activity"	"histone deacetylase activity"	0.88219587628866	0.43575	0
"GO:0036002"	8	"GO:0003723"	4	58	"pre-mRNA binding"	"RNA binding"	0.902721649484536	0.6074	0.586
"GO:0008276"	7	"GO:0004674"	4	94	"protein methyltransferase activity"	"protein serine/threonine kinase activity"	0.835432989690722	0.342933333333333	0.477
"GO:0035064"	12	"GO:0035064"	3.92081875395238	80	"methylated histone binding"	"methylated histone binding"	0.941237113402062	0.358333333333333	0
"GO:0140034"	12	"GO:0035064"	3.92081875395238	82	"methylation-dependent protein binding"	"methylated histone binding"	0.949268041237113	0.358	0.997
"GO:0003697"	1	"GO:0003676"	3.79588001734407	118	"single-stranded DNA binding"	"nucleic acid binding"	0.886103092783505	0.5396	0.477
